lat,lon,timePeriod,placeName,info,link
49.85201759,-119.5883785,<h4>Current</h4>,<h3>tetqWut ki?lawna</h3>,,
49.78413232,-119.5136962,<h4>Current</h4>,<h3>ka?kt cnti?i?kek?qptn</h3>,,
49.79658985,-119.2719708,<h4>Current</h4>,<h3>ka?kt nxWa?qWa?stn/snce?qeyltn</h3>,,
49.72727684,-119.8264861,<h4>Current</h4>,<h3>SqWa?a?</h3>,,
49.88712358,-119.5670793,<h4>Current</h4>,<h3>kremstewixWtn</h3>,,
49.94609884,-119.5751402,<h4>Current</h4>,<h3>xWatmnik</h3>,,
50.07211539,-119.3886697,<h4>Current</h4>,<h3>a?ctucus</h3>,,
49.92578571,-119.2217235,<h4>Current</h4>,<h3>ka?kt snce?qayIntn</h3>,,
49.67440552,-118.931545,<h4>Current</h4>,<h3>ka?kt npekqn</h3>,,
49.61243684,-118.9479435,<h4>Current</h4>,<h3>ka?kt snc?cumist</h3>,,
49.8835334,-119.4953504,<h4>Current</h4>,<h3>ka?kt kyi?lawna</h3>,,
